# ----------------------------------------
# CRS UK - GA4
# Free-form-Free-form 1
# 20250627-20250924
# ----------------------------------------

,,,,Device category,mobile,desktop,tablet,Totals
Date,Landing page,Country,Event name,Session default channel group,Active users,Active users,Active users,Active users
20250728,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,6,0,16
20250806,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,4,1,16
20250806,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,4,1,16
20250806,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,4,1,16
20250812,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,7,0,16
20250821,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,3,1,16
20250917,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,4,1,16
20250627,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,user_engagement,Paid Search,15,0,0,15
20250715,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,7,0,15
20250715,/cold-rooms-lp,United Kingdom,session_start,Paid Search,8,7,0,15
20250717,/cold-rooms-lp,United Kingdom,scroll,Paid Search,11,3,1,15
20250803,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,3,1,15
20250803,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,3,1,15
20250803,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,3,1,15
20250819,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,4,1,15
20250819,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,4,1,15
20250819,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,4,1,15
20250819,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,4,1,15
20250919,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,6,0,15
20250919,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,6,0,15
20250919,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,6,0,15
20250627,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,3,0,14
20250627,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,3,0,14
20250627,/refrigerated-units-lp,United Kingdom,scroll,Paid Search,14,0,0,14
20250702,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,4,0,14
20250702,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,4,0,14
20250702,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,4,0,14
20250704,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,2,0,14
20250704,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,2,0,14
20250704,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,2,0,14
20250704,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,2,0,14
20250706,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,3,0,14
20250706,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,3,0,14
20250711,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,6,0,14
20250715,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,7,7,0,14
20250722,/cold-rooms-lp,United Kingdom,click,Paid Search,12,2,0,14
20250723,/cold-rooms-lp,United Kingdom,click,Paid Search,12,2,0,14
20250725,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,4,0,14
20250725,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,4,0,14
20250803,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,2,1,14
20250806,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,3,1,14
20250819,/,United Kingdom,page_view,Organic Search,2,12,0,14
20250819,/,United Kingdom,session_start,Organic Search,2,12,0,14
20250903,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,4,0,14
20250903,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,4,0,14
20250903,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,4,0,14
20250904,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,4,0,14
20250904,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,4,0,14
20250904,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,4,0,14
20250923,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,6,0,14
20250923,/cold-rooms-lp,United Kingdom,session_start,Paid Search,8,6,0,14
20250923,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,8,6,0,14
20250627,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,3,0,13
20250627,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,3,0,13
20250629,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,1,0,13
20250629,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,1,0,13
20250629,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,1,0,13
20250629,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,1,0,13
20250629,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,13,0,0,13
20250629,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,13,0,0,13
20250629,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,13,0,0,13
20250629,/refrigerated-units-lp,United Kingdom,user_engagement,Paid Search,13,0,0,13
20250702,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,4,0,13
20250706,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,3,0,13
20250709,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,4,0,13
20250709,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,4,0,13
20250709,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,4,0,13
20250715,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,7,6,0,13
20250716,/,United Kingdom,page_view,Organic Search,2,11,0,13
20250716,/,United Kingdom,session_start,Organic Search,2,11,0,13
20250717,/cold-rooms-lp,United Kingdom,click,Paid Search,8,5,0,13
20250719,/cold-rooms-lp,United Kingdom,scroll,Paid Search,13,0,0,13
20250725,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,4,0,13
20250725,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,4,0,13
20250808,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,6,7,0,13
20250808,/cold-rooms-lp,United Kingdom,page_view,Paid Search,6,7,0,13
20250808,/cold-rooms-lp,United Kingdom,session_start,Paid Search,6,7,0,13
20250808,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,6,7,0,13
20250817,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,4,1,13
20250817,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,4,1,13
20250817,/cold-rooms-lp,United Kingdom,session_start,Paid Search,8,4,1,13
20250817,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,8,4,1,13
20250829,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,2,1,13
20250829,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,2,1,13
20250829,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,2,1,13
20250829,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,2,1,13
20250901,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,5,0,13
20250901,/cold-rooms-lp,United Kingdom,session_start,Paid Search,8,5,0,13
20250901,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,8,5,0,13
20250903,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,4,0,13
20250904,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,3,0,13
20250910,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,5,8,0,13
20250910,/cold-rooms-lp,United Kingdom,page_view,Paid Search,5,8,0,13
20250910,/cold-rooms-lp,United Kingdom,session_start,Paid Search,5,8,0,13
20250910,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,5,8,0,13
20250912,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,4,0,13
20250912,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,4,0,13
20250912,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,4,0,13
20250912,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,4,0,13
20250919,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,4,0,13
20250923,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,5,0,13
20250628,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,1,0,12
20250628,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,1,0,12
20250628,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,1,0,12
20250628,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,1,0,12
20250629,/refrigerated-units-lp,United Kingdom,scroll,Paid Search,12,0,0,12
20250701,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,9,2,1,12
20250701,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,9,2,1,12
20250701,/refrigerated-units-lp,United Kingdom,scroll,Paid Search,9,2,1,12
20250701,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,9,2,1,12
20250701,/refrigerated-units-lp,United Kingdom,user_engagement,Paid Search,9,2,1,12
20250703,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,4,0,12
20250703,/cold-rooms-lp,United Kingdom,session_start,Paid Search,8,4,0,12
20250703,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,8,4,0,12
20250706,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,3,0,12
20250708,/cold-rooms-lp,United Kingdom,scroll,Paid Search,6,6,0,12
20250714,/cold-rooms-lp,United Kingdom,scroll,Paid Search,5,7,0,12
20250715,/,United Kingdom,page_view,Organic Search,2,10,0,12
20250715,/,United Kingdom,session_start,Organic Search,2,10,0,12
20250716,/,United Kingdom,first_visit,Organic Search,2,10,0,12
20250901,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,4,0,12
20250924,/cold-rooms-lp,United Kingdom,page_view,Paid Search,7,5,0,12
20250924,/cold-rooms-lp,United Kingdom,session_start,Paid Search,7,5,0,12
20250924,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,7,5,0,12
20250630,/,United Kingdom,first_visit,Organic Search,6,5,0,11
20250630,/,United Kingdom,page_view,Organic Search,6,5,0,11
20250630,/,United Kingdom,session_start,Organic Search,6,5,0,11
20250703,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,3,0,11
20250709,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,3,0,11
20250712,/cold-rooms-lp,United Kingdom,scroll,Paid Search,11,0,0,11
20250713,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,0,0,11
20250713,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,0,0,11
20250713,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,0,0,11
20250713,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,0,0,11
20250729,/,United Kingdom,page_view,Organic Search,2,9,0,11
20250729,/,United Kingdom,session_start,Organic Search,2,9,0,11
20250804,/cold-rooms-lp,United Kingdom,scroll,Paid Search,9,2,0,11
20250814,/cold-rooms-lp,United Kingdom,scroll,Paid Search,8,3,0,11
20250911,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,8,3,0,11
